column_name,data_type,description,classification,keep,rationale
mo_sin_old_rev_tl_op,DOUBLE,Months since oldest revolving account opened,Origination-time,Yes,
mo_sin_rcnt_rev_tl_op,DOUBLE,Months since most recent revolving account opened,Origination-time,Yes,
mo_sin_rcnt_tl,DOUBLE,Months since most recent account opened,Origination-time,Yes,
mort_acc,DOUBLE,Number of mortgage accounts.,Origination-time,Yes,
mths_since_recent_bc,DOUBLE,Months since most recent bankcard account opened.,Origination-time,Yes,
mths_since_recent_bc_dlq,DOUBLE,Months since most recent bankcard delinquency,Origination-time,Yes,
mths_since_recent_inq,DOUBLE,Months since most recent inquiry.,Origination-time,Yes,
mths_since_recent_revol_delinq,DOUBLE,Months since most recent revolving delinquency.,Origination-time,Yes,
num_accts_ever_120_pd,DOUBLE,Number of accounts ever 120 or more days past due,Origination-time,Yes,
num_actv_bc_tl,DOUBLE,Number of currently active bankcard accounts,Origination-time,Yes,
num_actv_rev_tl,DOUBLE,Number of currently active revolving trades,Origination-time,Yes,
num_bc_sats,DOUBLE,Number of satisfactory bankcard accounts,Origination-time,Yes,
num_bc_tl,DOUBLE,Number of bankcard accounts,Origination-time,Yes,
num_il_tl,DOUBLE,Number of installment accounts,Origination-time,Yes,
num_op_rev_tl,DOUBLE,Number of open revolving accounts,Origination-time,Yes,
num_rev_accts,DOUBLE,Number of revolving accounts,Origination-time,Yes,
num_rev_tl_bal_gt_0,DOUBLE,Number of revolving trades with balance >0,Origination-time,Yes,
num_sats,DOUBLE,Number of satisfactory accounts,Origination-time,Yes,
num_tl_120dpd_2m,DOUBLE,Number of accounts currently 120 days past due (updated in past 2 months),Origination-time,Yes,
num_tl_30dpd,DOUBLE,Number of accounts currently 30 days past due (updated in past 2 months),Origination-time,Yes,
num_tl_90g_dpd_24m,DOUBLE,Number of accounts 90 or more days past due in last 24 months,Origination-time,Yes,
num_tl_op_past_12m,DOUBLE,Number of accounts opened in past 12 months,Origination-time,Yes,
pct_tl_nvr_dlq,DOUBLE,Percent of trades never delinquent,Origination-time,Yes,
percent_bc_gt_75,DOUBLE,Percentage of all bankcard accounts > 75% of limit.,Origination-time,Yes,
pub_rec_bankruptcies,DOUBLE,Number of public record bankruptcies,Origination-time,Yes,
tax_liens,DOUBLE,Number of tax liens,Origination-time,Yes,
tot_hi_cred_lim,DOUBLE,Total high credit/credit limit,Origination-time,Yes,
total_bal_ex_mort,DOUBLE,Total credit balance excluding mortgage,Origination-time,Yes,
total_bc_limit,DOUBLE,Total bankcard high credit/credit limit,Origination-time,Yes,
total_il_high_credit_limit,DOUBLE,Total installment high credit/credit limit,Origination-time,Yes,
revol_bal_joint,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_fico_range_low,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_fico_range_high,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_earliest_cr_line,VARCHAR,,Empty,No,field introduced after cohort window
sec_app_inq_last_6mths,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_mort_acc,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_open_acc,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_revol_util,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_open_act_il,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_num_rev_accts,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_chargeoff_within_12_mths,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_collections_12_mths_ex_med,DOUBLE,,Empty,No,field introduced after cohort window
sec_app_mths_since_last_major_derog,DOUBLE,,Empty,No,field introduced after cohort window
hardship_flag,VARCHAR,,Post-origination,No,
hardship_type,VARCHAR,,Post-origination,No,
hardship_reason,VARCHAR,,Post-origination,No,
hardship_status,VARCHAR,,Post-origination,No,
deferral_term,DOUBLE,,Post-origination,No,
hardship_amount,DOUBLE,,Post-origination,No,
hardship_start_date,VARCHAR,,Post-origination,No,
hardship_end_date,VARCHAR,,Post-origination,No,
payment_plan_start_date,VARCHAR,,Post-origination,No,
hardship_length,DOUBLE,,Post-origination,No,
hardship_dpd,DOUBLE,,Post-origination,No,
hardship_loan_status,VARCHAR,,Post-origination,No,
orig_projected_additional_accrued_interest,DOUBLE,,Post-origination,No,
hardship_payoff_balance_amount,DOUBLE,,Post-origination,No,
hardship_last_payment_amount,DOUBLE,,Post-origination,No,
disbursement_method,VARCHAR,,Admin,No,
debt_settlement_flag,VARCHAR,,Post-origination,No,
debt_settlement_flag_date,VARCHAR,,Post-origination,No,
settlement_status,VARCHAR,,Post-origination,No,
settlement_date,VARCHAR,,Post-origination,No,
settlement_amount,DOUBLE,,Post-origination,No,
settlement_percentage,DOUBLE,,Post-origination,No,
settlement_term,DOUBLE,,Post-origination,No,
default_flag,INTEGER,,Target,No,
issue_date,TIMESTAMP,,Metadata,No,
